model	code	url
Alto - A-Star/Celerio/800/Fronte/Cultus	SS40	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwF2QlM5ARcsOgkjADhfIy46Gh0Dcn1wcWNMfzcxAhYKDgwPSl1xGzUxNQQSCxpcQUt2fwMvMCpibT1SIhcxIzFrBicseGFmK2p6c3RqBDJyfXshagE2KDE3M2NkZnYFc3dxdXN0AAAAAIw51Js%3D%24&vid=0&q=
Baleno/Esteem	K14B	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwG2gpP2w9DV7dPOy8uCoO762t3Dsr2wsaOMv_fxwtbKzszPip2x2_Xx9cTSy9qcgYu2v8Di6ODs7_KWvPDg5-768uuyneL3tLWzsgAAAAAtuNJX%24&vid=0&q=
Baleno/Esteem	K10C	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHM-OnUrb6diZi6l4js8JSAoKe5yMfKy9n2xY2LuKywtLa18OfLoY-Lj76osaDm-_HMxbqYkpqWlYjsxoqanZSAiJHI55iMzM_IzQAAAAD9oadj%24&vid=0&q=
Swift	K12C	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFpXUwiDhIfHhZjJQhtSTElBQIcbWJvbnxTYCguHQkVERMQVUJuBCouKhsNFAVDXlRpYA4rMjwpIXVlIhtramhramwAAAAAD-53Gw%3D%3D%24&vid=0&q=
Grand Vitara XL-7	JA420WD	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHF8eCPqJCWtcSEurHdx52Jqa6wwc7DwtD_zISCsaW5vb-8-e7CqIaChrehuKnv8vjFzLaClpiV0_jJyJaEkNCvutzE0NfVxbbAycfFyAAAAAACX_6U%24&vid=0&q=
Grand Vitara XL-7	01 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFeansVID07DiULDikMVAYSMjUrWlVYWUtkVx8ZKj4iJiQnYnVZMx0ZHSw6IzJ0aWNeVy0ZDQMOSGNSUw0fC0s0IUdfS0xOXi1bU1RUWgAAAACZFTKu%24&vid=0&q=
Grand Vitara	JB424	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGLv66j1YHgycnJ7OeXndPH5-D-j4CNjJ6xgsrM_-v38_Hyt6CM5sjMyPnv9uehvLaLgvjM2NbbnbaHhtjK3sDO0Y390d3CiYGPAAAAAHsI_u0%3D%24&vid=0&q=
Grand Vitara	JB627	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGGsqOV0f7l7OHY5umOut7K6u3zgo2AgZO8j8fB8ub6_vz_uq2B68XBxfTi--qssbuGj_XB1dvWkLuKi9XH083D3IDw3NvMg4IAAAAAV69_Uw%3D%3D%24&vid=0&q=
Grand Vitara XL-7	07 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEnEwI5JVpASFFfJWMFNX9rS0xSIywhIDIdLmZgU0dbX11eGwwgSmRgZFVDWksNEBonLlRgdHp3MRorKnRmcjJNWD4mMjU3J1QiJiQlJgAAAAD29MGx%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	RA410	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwG5jZyXz-e86ODM9duT5OH11dLMvbK_vqyDsPj-zdnFwcPAhZK-1Pr--svdxNWTjoS5sMzg_-WtovKd7dj-7P6kyejjt66p5KW1vLuly_29srTupc755_74_KyrqbnKvLi-urm_AAAAAM1RyYA%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	RF410	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHI_O3ikaS-urKByJ_5_JCEpKO9zMPOz93ywYmPvKi0sLKx9OPPpYuPi7qstaTi__XIwb2RjpTc04PsnKmPnY_VuJmSxt_YldTEzcrUuozMw8Wf1L-Ilo-Jjd3a2Mi7zcnPy8_LAAAAAGykxnk%3D%24&vid=0&q=
Ignis	RG413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEIPC0GY10EXAINeWEvBlBEZGN9DAMODx0yAUlPfGh0cHJxNCMPZUtPS3psdWQiPzUIAXVaVFJPQBQEQ3oKCw4DCQAAAAALf2Uq%24&vid=0&q=
Ignis	RG415	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE8CBkdYEpHOl5kV3p6GGRwUFdJODc6OykGNX17SFxAREZFABc7UX97f05YQVAWCwE8NUFuYGZ7dCAwd04-MTk3OgAAAABfHYXS%24&vid=0&q=
Ignis	RM413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGumou01snMza_63dqXnvbiwsXbqqWoqbuUp-_p2s7S1tTXkoWpw-3p7dzK08KEmZOup9P88vTp5rKi5dysrKqkqwAAAADGLVDo%24&vid=0&q=
Ignis	RM415	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHQ5PXvs5HV3ZqMpqP8gYicvLul1NvW18Xq2ZGXpLCsqKqp7PvXvZOXk6K0rbz65-3Q2a2CjIqXmMzcm6LS0NDX0AAAAADfp7gX%24&vid=0&q=
Swift	04 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGWorOH0_LSwPH0yfHKlM7a-v3jkp2QkYOsn9fR4vbq7uzvqr2R-9XR1eTy6_q8oauWn_HUzcPW3oqa3eSUlZeTnQAAAAAiFs60%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	SD306	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFyRlc9dxJ1Ew8HJR13Lyo-HhkHdnl0dWdIezM1BhIOCggLTll1HzE1MQAWDx5YRU9yewcrNC5maTlWJhM1JzVvAiMofGViL25-d3BuADZ2eX8lbgUyLDUzN2dgYnIBd3N1cXRwAAAAAC7u5JE%3D%24&vid=0&q=
Vitara/Sidekick	SE416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHj18bzn4SOsLabtrny4buvj4iW5-jl5PbZ6qKkl4Ofm5ma38jkjqCkoJGHno_J1N7j6oG_pbGltKfV87W1vL-yu6mi4bTa4OTi4ugAAAAA8k9RNA%3D%3D%24&vid=0&q=
Vitara/Sidekick	3DR	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGpnYySxMX67-n01_Goo_HlxcLcraKvrryToOju3cnV0dPQlYKuxOru6tvN1MWDnpSpoMv17_vv_u2fuf__9vX48ePoq_6Qqq2oragAAAAA_HCneQ%3D%3D%24&vid=0&q=
Swift	SF310	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGjl4a40_Oj_cWmrv6Ck_vvz8jWp6ilpLaZquLk18Pf29nan4ikzuDk4NHH3s-JlJ6jqsTh-Pbj67-v6NGhr66lowAAAAD07tk8%24&vid=0&q=
Swift	SF413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEnEwIxRVt1I0BHS302IX9rS0xSIywhIDIdLmZgU0dbX11eGwwgSmRgZFVDWksNEBonLkBlfHJnbzsrbFUlJycgLQAAAABJvptM%24&vid=0&q=
Swift	SF416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFgVEUpGBUwNhkYBGB4cjgsDAsVZGtmZ3VaaSEnFAAcGBoZXEtnDSMnIxIEHQxKV11gaQciOzUgKHxsKxJiYmxiagAAAAC-JmDR%24&vid=0&q=
Jimny	SN413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE9CRgIYmxtXmZjfFFiM2VxUVZIOTY7OigHNHx6SV1BRUdEARY6UH56fk9ZQFEXCgA9NENhYmBwdSExdk8_MT02PgAAAABkudfw%24&vid=0&q=
Jimny	DIESEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwH5zdzxiPP9h6WN-of_zaG1lZKM_fL__uzD8Li-jZmFgYOAxdL-lLq-uoudhJXTzsT58IelpqS0seX1sov7-PT98gAAAADl6nTA%24&vid=0&q=
Grand Vitara	SQ416L	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwG1gZCB7ufu4fHTzNu0ne352d7Asb6zsqCPvPTywdXJzc_MiZ6y2Pby9sfRyNmfgoi1vMby5ujlo4i5uOb04P7w77PD7-T-srEAAAAArrSBaA%3D%3D%24&vid=0&q=
Grand Vitara	99 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHzx9barKiyt7efhKPw9au_n5iG9_j19ObJ-rK0h5OPi4mKz9j0nrC0sIGXjp_ZxM7z-oC0oK6j5c7__qCypri2qfWFqaO48_UAAAAAYnRsUQ%3D%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	SR306	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGAtKWe8Pvh-Mr6x5um3djM7Ov1hIuGh5W6icHH9OD8-Pr5vKuH7cPHw_Lk_eyqt72AifXZxtyUm8uk1OHH1ced8NHajpeQ3ZyMhYKc8sSEi43XnPfA3sfBxZWSkIDzhYGHg4WDAAAAAPvrYvw%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	SS80	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHa7v_pjqykm7i7oaTwzIKWtrGv3tHc3c_g05udrrqmoqCj5vHdt5mdmai-p7bw7efa06-DnIbOwZH-jrudj53HqouA1M3Kh8bW39jGqJ7e0deNxq2ahJ2bn8_Iytqp39vd2d7VAAAAAB_tGOI%3D%24&vid=0&q=
Swift	95 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEXIzI8RnBWV0lQW2xEGU9be3xiExwREAItHlZQY3drb21uKzwQelRQVGVzans9ICoXHnBVTEJXXwsbXGUVGxUQFgAAAABSqezY%24&vid=0&q=
Baleno/Esteem	SY413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwG8iJn9z-Xa_MrAz-WjkOTw0NfJuLe6u6mGtf37yNzAxMbFgJe70f_7_87YwdCWi4G8tcro4urm5fictvrq7eTw-OG4l-jxuL-xAAAAADQqVUE%3D%24&vid=0&q=
Baleno/Esteem	SY415	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwF4TF1IJD4lBSwDORlZKSA0FBMNfHN-f21CcTk_DBgEAAIBRFN_FTs_OwocBRRST0V4cQ4sJi4iITxYcj4uKSA0PCV8Uyw5eH15AAAAAL9-tN0%3D%24&vid=0&q=
Baleno/Esteem	SY416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE7Dx4BS0c2VjE_PT8YB2N3V1BOPzA9PC4BMnp8T1tHQ0FCBxA8Vnh8eElfRlcRDAY7Mk1vZW1hYn8bMX1tamN3f2Y_EG96Pzo_AAAAACtmV8c%3D%24&vid=0&q=
Baleno/Esteem	SY418	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGNuaix2ObD4vP56YulsdXB4eb4iYaLipi3hMzK-e3x9ff0saaK4M7Kzv_p8OGnurCNhPvZ09vX1Mmth8vb3NXBydCJptnDio2MAAAAAPByx0E%3D%24&vid=0&q=
Swift	K12B	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE9CRgXVl5DRnlkQX1uaGVxUVZIOTY7OigHNHx6SV1BRUdEARY6UH56fk9ZQFEXCgA9NFp_Zmh9dSExdk8_PDE5NgAAAACD9-0i%24&vid=0&q=
Swift	D13A	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGeqruD3cbu9JXf9d6aosbS8vXrmpWYmYukl9_Z6v7i5uTnorWZ893Z3ez64_K0qaOel_ncxcve1oKS1eycnJucmJgAAAAAOxDFfA%3D%3D%24&vid=0&q=
Swift	M16A	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHa7v_vn7mhpdy5ppX3-oKWtrGv3tHc3c_g05udrrqmoqCj5vHdt5mdmai-p7bw7efa072YgY-aksbWkajY2dbd2gAAAABQZsfJ%24&vid=0&q=
Swift	AZI412	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFUYHFkFis4IyshU09lZAwYOD8hUF9SU0FuXRUTIDQoLC4taH9TORcTFyYwKTh-Y2lUXTMWDwEUHEhYHyZWVVNWVlEAAAAApam15w%3D%3D%24&vid=0&q=
Grand Vitara	JB416X	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHf6_qRh7W6vtyYj5Db0YeTs7Sq29TZ2Mrl1p6Yq7-jp6Wm4_TYspyYnK27orP16OLf1qyYjIKPyeLT0oyeipSahdmphYOW2d0AAAAAtUjNFQ%3D%3D%24&vid=0&q=
Grand Vitara	JB419WD	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGSpreK7f6WzMjuw-WVlMre_vnnlpmUlYeom9PV5vLu6ujrrrmV_9HV0eD27_64pa-Sm-HVwc_ChK-en8HTx9nXyJTkyMDYkZcAAAAAq-wO1Q%3D%3D%24&vid=0&q=
Grand Vitara	JB424W	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE-ChsXQmFuQF1abkIzKGZyUlVLOjU4OSsEN395Sl5CRkRHAhU5U315fUxaQ1IUCQM-N015bWNuKAMyM21_a3V7ZDhIZG91PD88AAAAANRjUfY%3D%24&vid=0&q=
Grand Vitara	09 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHL_-7RsoGwzImTqbLa-5OHp6C-z8DNzN7xwoqMv6u3s7Gy9-DMpoiMiLmvtqfh_PbLwriMmJab3fbHxpiKnoCOkc29kZiCz80AAAAApHnIrQ%3D%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	RF308	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHM-OnasbbJkcaqyZSVxpSAoKe5yMfKy9n2xY2LuKywtLa18OfLoY-Lj76osaDm-_HMxbmVipDY14fomK2LmYvRvJ2WwtvckdDAyc7QvojIx8Gb0LuMkouNidne3My_yc3Lz8vCAAAAAM6MweY%3D%24&vid=0&q=
Swift	RS413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwENOSg4bwlhDFdtak1VLVVBYWZ4CQYLChg3BExKeW1xdXd0MSYKYE5KTn9pcGEnOjANBGpPVlhNRREBRn8PAAgPDAAAAAD5e1e_%24&vid=0&q=
Swift	RS415	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwETJzYLe1ITb3lmHm4BAUtff3hmFxgVFAYpGlJUZ3Nva2lqLzgUflBUUGF3bn85JC4TGnRRSEZTWw8fWGEREh4UEQAAAACltC2f%24&vid=0&q=
Swift	RS416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwF3Q1I-JxErFCEjFCxkZS87GxwCc3xxcGJNfjYwAxcLDw0OS1xwGjQwNAUTChtdQEp3fhA1LCI3P2t7PAV1e3VzfAAAAABhktk6%24&vid=0&q=
SX4/S-Cross	RW415	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEJPSwyWlxlDUh0UBJaG1FFZWJ8DQIPDhwzAEhOfWl1cXNwNSIOZEpOSnttdGUjPjQJAG5kDxVuEiEeH0hJQ0tSCH0OUV5AAwwAAAAAiGVCdA%3D%3D%24&vid=0&q=
SX4/S-Cross	RW416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEeKjsLR2VMQHtmTHEcIkZScnVrGhUYGQskF19Zan5iZmRnIjUZc11ZXWx6Y3I0KSMeF3lzGAJ5BTYJCF9eVFxFH2oZRklXGx8AAAAA2vADEA%3D%3D%24&vid=0&q=
SX4/S-Cross	RW419D	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHN-eiEkM-tucm_zb3_y5WBoaa4ycbLytj3xIyKua2xtbe08ebKoI6Kjr-psKHn-vDNxKqgy9Gq1uXa24yNh4-WzLnKkJiEzcYAAAAALA6Odw%3D%3D%24&vid=0&q=
SX4/S-Cross	RW420	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHr387_oOmHmOi-pZTv6bOnh4Ce7-Dt7P7R4qqsn4uXk5GS18DshqisqJmPlofB3Nbr4oyG7feM8MP8_aqroamw6p_ss7yi7e4AAAAAdOBTIg%3D%3D%24&vid=0&q=
Vitara/Sidekick	99 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHK_u_lyKiUr4qwqLbk3JKGpqG_zsHMzd_ww4uNvqq2srCz9uHNp4mNibiut6bg_ffKw6iWjJiMnY782pyclZabkoCLyJ3zysrOz8wAAAAA8vuATw%3D%3D%24&vid=0&q=
Vitara/Sidekick	96 MODEL	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwFGcmMLODA0ERknGhpBGx4KKi0zQk1AQVN8TwcBMiY6Pjw_em1BKwUBBTQiOypscXtGTyQaABQAEQJwVhAQGRoXHgwHRBF_RUFLQUQAAAAAoJ3Bjw%3D%3D%24&vid=0&q=
Vitara/Sidekick	SV420D	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHB9eTtgbyqwbWGpqDl5ZmNraq0xcrHxtT7yICGtaG9ubu4_erGrIKGgrOlvK3r9vzByKOdh5OHloX30ZeXnp2QmYuAw5b4wsbMxsIAAAAA6RN2Ig%3D%3D%24&vid=0&q=
Vitara/Sidekick	SV620	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHh1cTq_rvikKO_4J-647mtjYqU5ern5vTb6KCmlYGdmZuY3crmjKKmopOFnI3L1tzh6IO9p7OntqXX8be3vr2wuaug47bY4ufn5-AAAAAAqOfQzg%3D%3D%24&vid=0&q=
Baleno/Esteem	SY419	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEnEwIOJSRmJC0nayEHG39rS0xSIywhIDIdLmZgU0dbX11eGwwgSmRgZFVDWksNEBonLlFzeXF9fmMHLWFxdn9rY3ojDHNmLCwhAAAAAPGtXGU%3D%24&vid=0&q=
Swift	2WD	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHO-uvNjr61pLGVlcjN4paCoqW7ysXIydv0x4-Juq6ytrS38uXJo42Jjbyqs6Lk-fPOx6mMlZuOhtLChbzMycrMzckAAAAAggY96A%3D%3D%24&vid=0&q=
